Type,Product,Date,Description,Amount,Balance,Hide
TRANSFER,Current,2025-05-08 17:33:16,Transfer from Revolut user,12000.0,18261.43,False
TRANSFER,Current,2025-05-08 17:33:37,Anett Moldován,-12000.0,6177.43,False
TOPUP,Current,2025-05-09 09:57:36,Top-Up by *7109,200000.0,206177.43,False
TRANSFER,Current,2025-05-09 09:59:19,To HUF Holidays,-20000.0,186177.43,False
TRANSFER,Current,2025-05-09 10:00:18,To Savings Account,-30000.0,156177.43,False
TRANSFER,Current,2025-05-09 10:02:12,To HUF Rainy day,-60000.0,96177.43,False
TRANSFER,Current,2025-05-10 20:03:56,Transfer from Revolut user,7500.0,103677.43,False
CARD_PAYMENT,Current,2025-05-10 20:03:59,Wolt,-7835.3,95842.13,False
CARD_PAYMENT,Current,2025-05-10 16:55:58,Simple,-325.0,95517.13,False
CARD_PAYMENT,Current,2025-05-11 11:13:39,Nagy Beki Pekseg,-850.0,94667.13,False
CARD_PAYMENT,Current,2025-05-12 17:45:39,Annuska fagylaltbisztró és kávézó,-3330.0,91337.13,False
CARD_PAYMENT,Current,2025-05-12 19:53:01,Reál,-1957.0,89380.13,False
CARD_PAYMENT,Current,2025-05-12 17:01:51,dm drogerie,-2499.0,86881.13,False
CARD_PAYMENT,Current,2025-05-12 16:43:53,Crunchyroll,-2450.0,84431.13,False
TRANSFER,Current,2025-05-13 20:20:49,LEVENTE NANDOR POLGARI,-30000.0,54221.13,False
CARD_PAYMENT,Current,2025-05-13 23:51:31,Notino,-4020.0,50201.13,False
CARD_PAYMENT,Current,2025-05-13 17:51:45,Simple,-209.0,49992.13,False
CARD_PAYMENT,Current,2025-05-13 12:06:18,NAV,-5771.0,44221.13,False
CARD_PAYMENT,Current,2025-05-14 07:39:03,Civis Cafe Canteen,-1850.0,42371.13,False
TRANSFER,Current,2025-05-15 13:04:10,To HUF,75000.0,117371.13,False
TRANSFER,Current,2025-05-16 08:45:35,Transfer from Revolut user,35800.0,153171.13,False
TRANSFER,Current,2025-05-16 08:48:15,Transfer from Revolut user,10000.0,163171.13,False
TRANSFER,Current,2025-05-16 08:48:30,Anett Moldován,-10000.0,153101.13,False
CARD_PAYMENT,Current,2025-05-15 13:05:40,Ryanair,-73952.0,79149.13,False
TRANSFER,Current,2025-05-16 16:37:07,Anett Moldován,-2000.0,77135.13,False
CARD_PAYMENT,Current,2025-05-16 17:06:21,MOL,-24397.0,52738.13,False
CARD_PAYMENT,Current,2025-05-16 15:55:45,Simple,-550.0,52188.13,False
CARD_PAYMENT,Current,2025-05-18 22:57:15,Spotify,-1090.0,51098.13,False
TRANSFER,Current,2025-05-19 11:09:04,LEVENTE NANDOR POLGARI,-5000.0,46063.13,False
CARD_PAYMENT,Current,2025-05-18 19:40:04,Nemzeti Dohánybolt,-1700.0,44363.13,False
TRANSFER,Current,2025-05-21 07:57:57,Transfer from Revolut user,50000.0,94363.13,False
TRANSFER,Current,2025-05-21 08:01:00,Anett Moldován,-49500.0,44516.63,False
CARD_PAYMENT,Current,2025-05-20 10:43:33,Debreceni Egyetem,-440.0,44076.63,False
CARD_PAYMENT,Current,2025-05-21 09:15:12,Civis Cafe Canteen,-1374.0,42702.63,False
TRANSFER,Current,2025-05-22 08:55:41,To HUF,108000.0,150702.63,False
CARD_PAYMENT,Current,2025-05-21 09:25:08,1605021531 Gfa It,-550.0,150152.63,False
TRANSFER,Current,2025-05-22 14:24:12,To HUF Holidays,-105000.0,45152.63,False
TRANSFER,Current,2025-05-22 14:24:54,To HUF,3000.0,48152.63,False
TRANSFER,Current,2025-05-22 14:25:04,To HUF Holidays,-6000.0,42152.63,False
TRANSFER,Current,2025-05-22 22:42:27,To HUF,50000.0,92152.63,False
TRANSFER,Current,2025-05-22 22:48:27,To HUF,15000.0,107152.63,False
CARD_PAYMENT,Current,2025-05-23 18:22:46,KFC,-4580.0,102572.63,False
TRANSFER,Current,2025-05-24 11:56:23,Transfer from Revolut user,2042.7,104615.33,False
TRANSFER,Current,2025-05-24 14:55:50,Transfer to Revolut user,-1000.0,103615.33,False
TRANSFER,Current,2025-05-24 14:56:21,LEVENTE NANDOR POLGARI,-3000.0,100594.33,False
TOPUP,Current,2025-05-24 14:56:42,Top-Up by *7109,5500.0,106094.33,False
TRANSFER,Current,2025-05-24 22:05:11,Mark Fodor,-5000.0,101059.33,False
CARD_PAYMENT,Current,2025-05-24 08:59:38,Apple,-6190.0,94869.33,False
TRANSFER,Current,2025-05-25 11:50:21,To HUF,60000.0,154869.33,False
CARD_PAYMENT,Current,2025-05-24 17:55:58,Líra,-3591.0,151278.33,False
CARD_PAYMENT,Current,2025-05-24 14:47:40,Apolló Mozi,-3300.0,147978.33,False
TOPUP,Current,2025-05-26 11:39:11,Top-Up by *7109,20000.0,167978.33,False
CARD_PAYMENT,Current,2025-05-25 16:56:50,Vitaminkucko,-1027.0,166951.33,False
CARD_PAYMENT,Current,2025-05-22 22:42:34,Adriagate,-65035.92,101265.05,False
EXCHANGE,Current,2025-05-26 20:49:21,Exchange to HUF,6.35,101271.34,False
TRANSFER,Current,2025-05-27 06:09:07,Transfer from Revolut user,110000.0,211271.34,False
TRANSFER,Current,2025-05-27 08:42:04,Anett Moldován,-109000.0,101508.34,False
CARD_PAYMENT,Current,2025-05-27 12:26:06,1605021531 Gfa It,-550.0,100958.34,False
CARD_PAYMENT,Current,2025-05-28 10:19:26,Arriva,-13781.13,87039.4,False
TRANSFER,Current,2025-05-29 17:38:03,Transfer to Revolut user,-3000.0,84039.4,False
TRANSFER,Current,2025-05-29 18:01:15,Transfer from Revolut user,4000.0,88039.4,False
CARD_PAYMENT,Current,2025-05-29 17:52:49,Wolt,-3049.0,84990.4,False
CARD_PAYMENT,Current,2025-05-29 17:59:26,eduna.hu,-12980.0,72010.4,False
CARD_PAYMENT,Current,2025-05-29 19:55:06,MOB Söröző Kávézó,-6160.0,65850.4,False
CARD_PAYMENT,Current,2025-05-29 21:27:02,MOB Söröző Kávézó,-850.0,65000.4,False
CARD_PAYMENT,Current,2025-05-29 22:23:47,MOB Söröző Kávézó,-1920.0,63080.4,False
CARD_PAYMENT,Current,2025-05-29 19:12:23,Nemzeti Mobilfizetési,-480.0,62600.4,False
CARD_PAYMENT,Current,2025-05-29 18:12:40,Nemzeti Dohánybolt,-2125.0,60475.4,False
CARD_PAYMENT,Current,2025-05-31 21:05:08,Tippmixpro,-1500.0,58975.4,False
CARD_PAYMENT,Current,2025-05-31 19:42:12,KFC,-2490.0,56485.4,False
TRANSFER,Current,2025-06-01 14:34:37,Transfer to Revolut user,-2000.0,54485.4,False
CARD_PAYMENT,Current,2025-05-31 23:10:09,McDonald's,-6040.0,48445.4,False
CARD_PAYMENT,Current,2025-05-31 23:10:56,McDonald's,-4025.0,44420.4,False
CARD_PAYMENT,Current,2025-05-31 23:29:53,Nemzeti Dohánybolt,-899.0,43521.4,False
CARD_PAYMENT,Current,2025-06-01 23:56:58,Epic Games Store,-749.0,42772.4,False
CARD_PAYMENT,Current,2025-06-01 22:18:37,Steam,-369.0,42399.71,False
CARD_PAYMENT,Current,2025-06-03 09:17:38,Simple,-244.0,42155.71,False
CARD_PAYMENT,Current,2025-06-03 07:34:13,HELL Energy,-430.0,41725.71,False
CARD_PAYMENT,Current,2025-06-04 11:37:09,Civis Cafe Canteen,-2376.0,39349.71,False
CARD_PAYMENT,Current,2025-06-04 09:26:49,1605021531 Gfa It,-550.0,38799.71,False
CARD_PAYMENT,Current,2025-06-04 16:36:00,Auchan,-2928.0,35871.71,False
CARD_PAYMENT,Current,2025-06-05 19:53:16,Tippmixpro,-1500.0,34371.71,False
CARD_PAYMENT,Current,2025-06-06 19:25:48,Smash Burger & Beer Bar Debrecen,-5980.0,28391.71,False
CARD_PAYMENT,Current,2025-06-06 18:13:41,Nemzeti Dohánybolt,-2100.0,26291.71,False
TRANSFER,Current,2025-06-07 16:26:17,Transfer from Revolut user,2000.0,28291.71,False
TRANSFER,Current,2025-06-07 16:26:51,Transfer from Revolut user,900.0,29191.71,False
TOPUP,Current,2025-06-07 16:36:02,Top-Up by *7109,4000.0,33191.71,False
CARD_PAYMENT,Current,2025-06-07 16:31:56,Harap Lak,-6270.0,26921.71,False
CARD_PAYMENT,Current,2025-06-07 18:53:13,Harap Lak,-1400.0,25521.71,False
CARD_PAYMENT,Current,2025-06-07 14:11:37,Kerekestelepi Termálfürdő és Kemping,-5400.0,20121.71,False
CARD_PAYMENT,Current,2025-06-08 00:54:12,Tippmixpro,-3000.0,17121.71,False
CARD_PAYMENT,Current,2025-06-08 09:39:35,Tippmixpro,-17121.0,0.71,False
TRANSFER,Current,2025-06-10 09:27:02,From Savings Account,21000.0,21000.71,False
TRANSFER,Current,2025-06-10 09:27:39,Transfer to Revolut user,-20000.0,1000.71,False
TOPUP,Current,2025-06-10 11:11:38,Top-Up by *7109,265000.0,266000.71,False
TRANSFER,Savings,2025-05-04 11:15:42,To HUF,-20000.0,180000.0,False
TRANSFER,Savings,2025-05-09 09:59:19,To HUF Holidays,20000.0,200000.0,False
TRANSFER,Savings,2025-05-09 10:02:12,To HUF Rainy day,60000.0,260000.0,False
TRANSFER,Savings,2025-05-15 13:04:10,To HUF,-75000.0,185000.0,False
TRANSFER,Savings,2025-05-22 08:55:41,To HUF,-108000.0,77000.0,False
TRANSFER,Savings,2025-05-22 14:24:12,To HUF Holidays,105000.0,182000.0,False
TRANSFER,Savings,2025-05-22 14:24:54,To HUF,-3000.0,179000.0,False
TRANSFER,Savings,2025-05-22 14:25:04,To HUF Holidays,6000.0,185000.0,False
TRANSFER,Savings,2025-05-22 22:42:27,To HUF,-50000.0,135000.0,False
TRANSFER,Savings,2025-05-22 22:48:27,To HUF,-15000.0,120000.0,False
TRANSFER,Savings,2025-05-25 11:50:21,To HUF,-60000.0,60000.0,False
TRANSFER,Deposit,2025-05-09 10:00:18,To Savings Account,30000.0,330451.26,False
TRANSFER,Deposit,2025-06-10 09:27:02,From Savings Account,-21000.0,309757.02,False
FEE,Current,2025-01-01 02:06:13,Premium plan fee,-3000.0,100213.04,False
TRANSFER,Current,2025-01-01 17:22:08,Transfer to Revolut user,-100000.0,213.04,False
TRANSFER,Current,2025-01-01 17:24:44,Transfer from Revolut user,995000.0,995213.04,False
EXCHANGE,Current,2025-01-01 17:26:51,Exchange to EUR,-995000.0,213.04,False
TRANSFER,Current,2025-01-01 21:07:33,Transfer from Revolut user,140000.0,140213.04,False
TRANSFER,Current,2025-01-02 09:10:25,To Anett Moldován,-139000.0,240.04,False
TOPUP,Current,2025-01-02 17:47:49,Top-Up by *7109,100000.0,100240.04,False
TRANSFER,Current,2025-01-03 00:44:04,To LEVENTE NANDOR POLGARI,-3000.0,97219.04,False
TOPUP,Current,2025-01-03 00:44:18,Top-Up by *7109,5300.0,102519.04,False
CARD_PAYMENT,Current,2025-01-02 18:16:56,KFC,-2390.0,100129.04,False
TRANSFER,Current,2025-01-04 13:51:19,Transfer to Revolut user,-3700.0,96429.04,False
CARD_PAYMENT,Current,2025-01-03 11:19:35,Magyar Posta,-30970.0,65459.04,False
CARD_PAYMENT,Current,2025-01-03 20:07:39,Bartók Csemege,-2239.0,63220.04,False
CARD_REFUND,Current,2025-01-04 01:00:00,Delfinbúvár,2870.0,66090.04,False
TRANSFER,Current,2025-01-05 14:34:44,Transfer from Revolut user,50000.0,116090.04,False
TRANSFER,Current,2025-01-05 15:16:16,To HUF Dentist,-50000.0,66090.04,False
TOPUP,Current,2025-01-08 12:08:57,Top-Up by *7109,20000.0,86090.04,False
CARD_PAYMENT,Current,2025-01-07 16:42:26,MAXILine Töltőállomás,-10002.0,76088.04,False
CARD_PAYMENT,Current,2025-01-08 17:04:47,Simple,-613.0,75475.04,False
CARD_PAYMENT,Current,2025-01-08 17:53:02,Magyar Posta,-7170.0,68305.04,False
TOPUP,Current,2025-01-10 11:48:42,Top-Up by *7109,241357.0,309662.04,False
TRANSFER,Current,2025-01-10 11:51:41,Transfer from Revolut user,29971.5,339633.54,False
TRANSFER,Current,2025-01-10 23:04:20,Transfer to Revolut user,-60000.0,279633.54,False
TRANSFER,Current,2025-01-10 23:05:18,Transfer from Revolut user,60000.0,339633.54,False
EXCHANGE,Current,2025-01-10 23:06:31,Exchange to EUR,-60000.0,279633.54,False
TRANSFER,Current,2025-01-10 23:13:43,To LEVENTE NANDOR POLGARI,-30000.0,249423.54,False
TOPUP,Current,2025-01-10 23:16:27,Top-Up by *7109,10660.0,260083.54,False
CARD_PAYMENT,Current,2025-01-10 11:39:29,Xiaomi Official,-14490.0,245593.54,False
CARD_PAYMENT,Current,2025-01-10 11:50:28,Airbnb,-59943.0,185650.54,False
CARD_PAYMENT,Current,2025-01-10 12:45:43,ANRO épületdíszétés,-4390.0,181260.54,False
TRANSFER,Current,2025-01-11 17:15:43,Transfer from Revolut user,20000.0,201260.54,False
TOPUP,Current,2025-01-12 18:24:15,Top-Up by *7109,6000.0,207260.54,False
TRANSFER,Current,2025-01-12 18:24:33,Transfer to Revolut user,-6000.0,201260.54,False
TOPUP,Current,2025-01-12 23:45:51,Top-Up by *7109,82280.0,283540.54,False
CARD_PAYMENT,Current,2025-01-12 23:44:21,Alza,-82280.0,201260.54,False
CARD_PAYMENT,Current,2025-01-13 14:23:15,Trading 212,-41686.99,159573.55,False
TOPUP,Current,2025-01-14 15:11:32,Top-Up by *7109,70000.0,229573.55,False
CARD_PAYMENT,Current,2025-01-14 15:32:06,Vir Var Dekor,-3000.0,226573.55,False
CARD_PAYMENT,Current,2025-01-14 17:09:36,Nemzeti Dohánybolt,-1700.0,224873.55,False
CARD_PAYMENT,Current,2025-01-14 12:14:41,Nemzeti Mobilfizetési,-480.0,224393.55,False
CARD_PAYMENT,Current,2025-01-14 13:35:31,Coop,-857.0,223536.55,False
CARD_PAYMENT,Current,2025-01-14 15:15:29,Nemzeti Dohánybolt,-949.0,222587.55,False
TRANSFER,Current,2025-01-15 22:57:46,Transfer from Revolut user,3500.0,226087.55,False
CARD_PAYMENT,Current,2025-01-15 19:56:37,Wolt,-6739.0,219348.55,False
TRANSFER,Current,2025-01-16 17:35:53,To Zéti Polgári,-10000.0,209278.55,False
CARD_PAYMENT,Current,2025-01-16 09:36:44,Civis Cafe Canteen,-115.0,209163.55,False
CARD_PAYMENT,Current,2025-01-17 20:58:14,Wolt,-3729.0,205434.55,False
CARD_PAYMENT,Current,2025-01-17 16:28:00,Nemzeti Dohánybolt,-1800.0,203634.55,False
CARD_PAYMENT,Current,2025-01-17 16:36:30,CBA,-2346.0,201288.55,False
CARD_PAYMENT,Current,2025-01-18 21:57:17,Spotify,-1090.0,200198.55,False
TRANSFER,Current,2025-01-19 20:28:12,Transfer to Revolut user,-2800.0,197398.55,False
TRANSFER,Current,2025-01-19 20:28:34,Transfer to Revolut user,-25000.0,172398.55,False
TRANSFER,Current,2025-01-19 20:28:52,Transfer from Revolut user,25000.0,197398.55,False
TRANSFER,Current,2025-01-19 20:28:59,Transfer from Revolut user,2800.0,200198.55,False
TOPUP,Current,2025-01-20 12:55:43,Top-Up by *7109,450000.0,650198.55,False
TRANSFER,Current,2025-01-20 12:58:03,To HUF Temp,-450000.0,200198.55,False
CARD_PAYMENT,Current,2025-01-19 10:38:57,ALDI,-564.0,199634.55,False
CARD_PAYMENT,Current,2025-01-19 16:07:56,Nemzeti Dohánybolt,-2400.0,197234.55,False
CARD_PAYMENT,Current,2025-01-21 18:33:35,Hamburger Bár,-580.0,196654.55,False
TRANSFER,Current,2025-01-23 11:11:48,Transfer to Revolut user,-15000.0,181654.55,False
TRANSFER,Current,2025-01-23 14:04:54,Transfer from Revolut user,2500.0,184154.55,False
TRANSFER,Current,2025-01-23 14:09:04,To HUF,15000.0,199154.55,False
TRANSFER,Current,2025-01-23 14:22:13,Transfer from Revolut user,2000.0,201154.55,False
CARD_PAYMENT,Current,2025-01-23 14:11:39,Wolt,-5366.4,195788.15,False
TRANSFER,Current,2025-01-24 17:28:59,Transfer to Revolut user,-60000.0,135788.15,False
TRANSFER,Current,2025-01-24 18:27:59,Transfer to Revolut user,-5000.0,130788.15,False
TOPUP,Current,2025-01-24 18:51:06,Top-Up by *7109,65000.0,195788.15,False
CARD_PAYMENT,Current,2025-01-24 08:58:23,Apple,-6190.0,189598.15,False
CARD_PAYMENT,Current,2025-01-24 17:31:18,Nemzeti Mobilfizetési,-560.0,189038.15,False
CARD_PAYMENT,Current,2025-01-24 18:51:55,ALDI,-3861.0,185177.15,False
CARD_PAYMENT,Current,2025-01-24 18:54:37,Nemzeti Dohánybolt,-1800.0,183377.15,False
TRANSFER,Current,2025-01-25 23:13:21,To Zéti Polgári,-77500.0,105334.65,False
CARD_PAYMENT,Current,2025-01-25 12:27:35,Twitch,-2044.41,103269.8,False
CARD_PAYMENT,Current,2025-01-25 12:47:51,Nemzeti Mobilfizetési,-480.0,102789.8,False
TRANSFER,Current,2025-01-26 15:49:28,To HUF,450000.0,552789.8,False
TRANSFER,Current,2025-01-26 15:50:06,To Anett Moldován,-547000.0,1960.8,False
CARD_PAYMENT,Current,2025-01-25 12:57:44,McDonald's,-1490.0,470.8,False
EXCHANGE,Current,2025-01-27 09:10:23,Exchange to HUF,81009.18,81479.98,False
TRANSFER,Current,2025-01-27 23:57:51,Transfer from Revolut user,140000.0,221479.98,False
TRANSFER,Current,2025-01-28 08:46:56,To Anett Moldován,-138500.0,82010.48,False
CARD_PAYMENT,Current,2025-01-27 18:40:18,McDonald's,-2260.0,79750.48,False
CARD_PAYMENT,Current,2025-01-28 15:12:28,Dallmayr,-260.0,79490.48,False
CARD_PAYMENT,Current,2025-01-28 13:33:50,Debreceni Egyetem,-530.0,78960.48,False
CARD_PAYMENT,Current,2025-01-29 17:54:11,Nemzeti Dohánybolt,-2179.0,76781.48,False
FEE,Current,2025-02-01 02:22:59,Premium plan fee,-3000.0,73781.48,False
CARD_PAYMENT,Current,2025-02-04 15:50:58,Amazon Prime,-1900.0,71881.48,False
CARD_PAYMENT,Current,2025-02-06 17:42:12,Nemzeti Dohánybolt,-1088.0,70793.48,False
CARD_PAYMENT,Current,2025-02-05 19:07:07,Steam,-5234.09,65559.39,False
CARD_PAYMENT,Current,2025-02-05 22:09:37,Nemzeti Dohánybolt,-2147.0,63412.39,False
CARD_PAYMENT,Current,2025-02-06 18:05:08,McDonald's,-1690.0,61722.39,False
TRANSFER,Current,2025-02-09 16:58:05,To LEVENTE NANDOR POLGARI,-41000.0,20435.39,False
TOPUP,Current,2025-02-10 11:58:34,Top-Up by *7109,308846.0,329281.39,False
CARD_PAYMENT,Current,2025-02-10 12:00:06,Union Vienna Insurance Group,-27929.0,301352.39,False
TRANSFER,Current,2025-02-11 10:25:45,To HUF Temp,-250000.0,51352.39,False
TRANSFER,Current,2025-02-11 10:26:00,To HUF Temp,-20000.0,31352.39,False
CARD_PAYMENT,Current,2025-02-10 16:24:16,Wok n’ Go,-3800.0,27552.39,False
CARD_PAYMENT,Current,2025-02-11 07:55:15,Civis Cafe Canteen,-450.0,27102.39,False
CARD_PAYMENT,Current,2025-02-10 10:49:44,Viger Katalin E.v.,-1200.0,25902.39,False
CARD_PAYMENT,Current,2025-02-11 11:48:25,Civis Cafe Canteen,-3118.0,22784.39,False
TOPUP,Current,2025-02-11 19:40:52,Top-Up by *7109,9462.0,32246.39,False
TRANSFER,Current,2025-02-11 19:41:29,Transfer to Revolut user,-9400.0,22846.39,False
CARD_PAYMENT,Current,2025-02-11 21:14:57,Tippmixpro,-1500.0,21346.39,False
CARD_PAYMENT,Current,2025-02-11 17:13:01,Coop,-1106.0,20240.39,False
TRANSFER,Current,2025-02-12 15:32:54,Transfer to Revolut user,-5000.0,15240.39,False
TOPUP,Current,2025-02-12 15:33:06,Top-Up by *7109,5000.0,20240.39,False
TRANSFER,Current,2025-02-12 20:25:12,To HUF,35000.0,55240.39,False
TRANSFER,Current,2025-02-12 20:26:08,To Zéti Polgári,-28000.0,27044.39,False
TOPUP,Current,2025-02-12 23:34:34,Top-Up by *4479,12800.0,39844.39,False
CARD_PAYMENT,Current,2025-02-12 12:34:03,Nemzeti Dohánybolt,-2379.0,37465.39,False
CARD_PAYMENT,Current,2025-02-12 21:29:28,McDonald's,-2110.0,35355.39,False
TRANSFER,Current,2025-02-13 16:32:31,To Zéti Polgári,-6000.0,29313.39,False
TRANSFER,Current,2025-02-14 09:20:45,To HUF,10000.0,39313.39,False
CARD_PAYMENT,Current,2025-02-13 14:10:31,Simple,-7289.0,32024.39,False
CARD_PAYMENT,Current,2025-02-14 07:54:34,Civis Cafe Canteen,-744.0,31280.39,False
CARD_PAYMENT,Current,2025-02-14 11:47:39,Civis Cafe Canteen,-1690.0,29590.39,False
TRANSFER,Current,2025-02-14 18:28:08,To HUF,10000.0,39590.39,False
CARD_PAYMENT,Current,2025-02-14 07:55:53,Cocacolahbcmagyaror,-500.0,39090.39,False
CARD_PAYMENT,Current,2025-02-14 17:02:11,Vir Var Dekor,-6000.0,33090.39,False
TRANSFER,Current,2025-02-15 18:15:48,Transfer from Revolut user,100000.0,133090.39,False
TRANSFER,Current,2025-02-15 18:17:24,To Anett Moldován,-99000.0,33397.39,False
TRANSFER,Current,2025-02-16 00:32:50,To HUF,15000.0,48397.39,False
CARD_PAYMENT,Current,2025-02-14 09:18:22,Liliput Játékvilág,-19289.0,29108.39,False
CARD_PAYMENT,Current,2025-02-15 22:47:48,Spontán Café & Lounge,-1200.0,27908.39,False
CARD_PAYMENT,Current,2025-02-15 21:33:37,Péterfia Rock Söröző,-690.0,27218.39,False
TRANSFER,Current,2025-02-16 11:52:03,To HUF,35000.0,62218.39,False
CARD_PAYMENT,Current,2025-02-15 09:18:09,PENNY,-5151.0,57067.39,False
CARD_PAYMENT,Current,2025-02-15 15:43:35,Nemzeti Dohánybolt,-1700.0,55367.39,False
CARD_PAYMENT,Current,2025-02-16 00:43:05,MAXILine Töltőállomás,-10068.0,45299.39,False
TOPUP,Current,2025-02-17 17:14:15,Top-Up by *7109,4000.0,49299.39,False
CARD_PAYMENT,Current,2025-02-17 16:37:55,Lidl,-5069.0,44230.39,False
CARD_PAYMENT,Current,2025-02-18 21:57:13,Spotify,-1090.0,43140.39,False
CARD_PAYMENT,Current,2025-02-18 15:45:40,HELLA AUTOTECHNIK NOVA s.r.o.,-430.0,42710.39,False
CARD_PAYMENT,Current,2025-02-18 09:35:21,Debreceni Egyetem,-470.0,42240.39,False
CARD_PAYMENT,Current,2025-02-18 11:37:31,"Diagnostic Sport, Lifestyle and Therapy Center",-13000.0,29240.39,False
CARD_PAYMENT,Current,2025-02-20 07:49:24,Cocacolahbcmagyaror,-500.0,28740.39,False
TRANSFER,Current,2025-02-21 19:52:35,Transfer to Revolut user,-3000.0,25740.39,False
TRANSFER,Current,2025-02-21 19:53:48,Transfer from Revolut user,3000.0,28740.39,False
CARD_PAYMENT,Current,2025-02-21 13:31:11,Viger Katalin E.v.,-1420.0,27320.39,False
CARD_PAYMENT,Current,2025-02-21 19:43:47,Apolló Mozi,-3300.0,24020.39,False
TRANSFER,Current,2025-02-22 15:36:57,To Lilla Salanki,-4500.0,19488.89,False
TRANSFER,Current,2025-02-23 15:11:56,To HUF,50000.0,69488.89,False
TRANSFER,Current,2025-02-23 15:16:11,To HUF Temp,-30000.0,39488.89,False
TRANSFER,Current,2025-02-24 09:28:48,Transfer from Revolut user,2063.34,41552.23,False
CARD_PAYMENT,Current,2025-02-23 15:14:00,MAXILine Töltőállomás,-20819.0,20733.23,False
CARD_PAYMENT,Current,2025-02-24 08:57:19,Apple,-6190.0,14543.23,False
CARD_PAYMENT,Current,2025-02-24 17:25:48,HELLA AUTOTECHNIK NOVA s.r.o.,-430.0,14113.23,False
CARD_PAYMENT,Current,2025-02-24 15:47:56,Simple,-896.0,13217.23,False
CARD_PAYMENT,Current,2025-02-25 12:27:37,Twitch,-2018.22,11199.01,False
CARD_PAYMENT,Current,2025-02-25 12:46:56,Coop,-1997.0,9202.01,False
CARD_PAYMENT,Current,2025-02-24 23:11:57,De Agra'r Kapu,-2200.0,7002.01,False
CARD_PAYMENT,Current,2025-02-25 17:51:18,Simple,-209.0,6793.01,False
TRANSFER,Current,2025-02-26 20:03:06,To HUF,10000.0,16793.01,False
TRANSFER,Current,2025-02-26 20:08:09,Transfer from Revolut user,8000.0,24793.01,False
TRANSFER,Current,2025-02-26 22:05:30,Transfer from Revolut user,2000.0,26793.01,False
CARD_PAYMENT,Current,2025-02-26 20:08:10,KFC,-9700.0,17093.01,False
CARD_PAYMENT,Current,2025-02-27 12:20:38,Civis Cafe Canteen,-2014.0,15079.01,False
TRANSFER,Current,2025-02-28 09:05:40,Transfer to Revolut user,-2000.0,13079.01,False
CARD_PAYMENT,Current,2025-02-27 08:01:04,Cocacolahbcmagyaror,-500.0,12579.01,False
CARD_PAYMENT,Current,2025-02-27 14:17:32,Cocacolahbcmagyaror,-500.0,12079.01,False
TRANSFER,Current,2025-02-28 12:09:35,To HUF,50000.0,62079.01,False
TRANSFER,Current,2025-02-28 12:40:34,HUF → Revolut X,-20167.49,41911.52,False
CARD_PAYMENT,Current,2025-02-28 12:09:43,Coinbase,-20165.72,21745.8,False
